,CCN,AverageAge,PctgAge18,PctgAge18t64,PctgAge64,PctgBlack,PctgHispanic,PctgFemale,Network,Name,City,StateCode,PctgCalciumUncorrected102,AvgCalciumUncorrected,AvgSerumPhosphorous,PctgSerumPhosphorous70,PctgFistula,PctgCatheterOnly90,TotalPatients,PctgMedicare,PctgMedicarePending,PctgNonMedicare,ComplianceStatus,ProfitStatus,ChainOwner,EveningShift,DialyzerReuse,TotalStations,TotalStaff,SRR,PctgFluVaccine,AvgHemoglobin,PctgHemoglobin10,PctgHemoglobin10t11,PctgHemoglobin11t12,PctgHemoglobin12,PctgESAPrescribed,AvgUFR,PctgUFRLE13,PctgUFRGT13,AvgKtV,PctgKtV12,PctgKtV12t18,PctgKtV18,PctgKtVOther,ZipCode,PctgBlackACS,PctgHispanicACS,UnemploymentRate,PctgFamilyBelowFPL,PctgPoorEnglish,HospitalAffiliation,State,Region,Division,Urbanicity,Urbanicity2,YearsInOps
11,12516,62.30909091,0,56.36363636,43.63636364,72.72727273,0,52.72727273,8,DSI SOUTH DIALYSIS,BIRMINGHAM,AL,1.333333333,9.121353384,5.144752187,11.03151863,37.45704467,1.718213058,74,83.92857143,0,16.07142857,Not Compliant,For Profit,Other Chains,No Evening Shift,No Dialyzer Reuse,20,12,0.827319501,80,10.73177711,21.18518519,42.96296296,21.33333333,12.88888889,85.48148148,7.603501708,89.20353982,7.78761062,1.588007246,0.723327306,82.27848101,16.81735986,0.180831826,35222,35.4,3.6,4.8,21.8,2.3,Non-Hospital Facilities,Alabama,South,East South Central,Metropolitan,Urban,34.08146642
12,12517,61.28,0,52,48,49.33333333,1.333333333,53.33333333,8,DVA HEALTHCARE RENAL CARE INC,ATHENS,AL,2.420242024,8.97983871,5.427932961,16.47183847,65.28066528,4.158004158,124,80.45977012,0,19.54022989,Compliant,For Profit,Other Chains,No Evening Shift,No Dialyzer Reuse,12,15,1.134975109,86.36363636,11.02741752,18.37183718,29.37293729,30.3630363,18.59185919,69.8569857,8.565279419,82.39823982,11.11111111,1.57684949,2.770780856,75.18891688,20.78085642,1.259445844,35613,10.6,3.8,3.3,7.3,1.1,Non-Hospital Facilities,Alabama,South,East South Central,Metropolitan,Urban,33.94457107
13,12519,59,0,61.40350877,38.59649123,17.54385965,0,40.35087719,8,FMC SCOTTSBORO,SCOTTSBORO,AL,2.595155709,9.316462347,5.622977346,14.33121019,74.04458599,8.757961783,87,48.33333333,0,51.66666667,Not Compliant,For Profit,FMC,No Evening Shift,No Dialyzer Reuse,21,12,0.871675821,65.95744681,11.00451389,19.20415225,29.06574395,29.75778547,21.62629758,67.64705882,8.649540412,86.33217993,10.20761246,1.746971831,0.865051903,48.61591696,48.78892734,1.730103806,35768,6,2.7,3.9,14.9,1.2,Non-Hospital Facilities,Alabama,South,East South Central,Micropolitan,Rural,32.15397989
14,12520,61.81632653,0,57.14285714,42.85714286,77.55102041,2.040816327,48.97959184,8,FMC TROY,TROY,AL,3.728813559,8.932367973,5.175412541,15.22094926,42.38952537,6.055646481,71,50,1.785714286,48.21428571,Not Compliant,For Profit,FMC,No Evening Shift,No Dialyzer Reuse,15,12,0.634745553,52.77777778,11.05915254,18.13559322,29.15254237,32.71186441,20,61.3559322,7.329432206,87.79661017,10.50847458,1.592943201,3.602058319,77.01543739,19.03945112,0.343053173,36081,44.4,1.5,6,20.3,5.1,Non-Hospital Facilities,Alabama,South,East South Central,Micropolitan,Rural,32.11564919
15,12521,62.51818182,0,52.72727273,47.27272727,60.90909091,0.909090909,49.09090909,8,DCI DOTHAN,DOTHAN,AL,5.980317941,9.125801407,5.243537415,10.4379562,62.72814601,1.633045149,155,92.62295082,0,7.37704918,Not Compliant,Not for Profit,Other Chains,No Evening Shift,Dialyzer Reuse,33,18,1.008862227,72.91666667,10.80945313,17.56245269,37.85011355,29.5987888,11.88493566,65.85919758,5.881143053,90.03984064,4.6812749,1.563019057,1.497005988,85.82834331,12.1756487,0.499001996,36303,41.1,3.1,6.4,17.6,1.2,Non-Hospital Facilities,Alabama,South,East South Central,Metropolitan,Urban,31.80900361
16,12522,59.42592593,0,64.81481482,35.18518519,46.2962963,3.703703704,44.44444444,8,FMC HUNTSVILLE,HUNTSVILLE,AL,4.323308271,9.199416342,5.681698113,18.59205776,66.23616236,7.380073801,72,50.84745763,0,49.15254237,Not Compliant,For Profit,FMC,No Evening Shift,No Dialyzer Reuse,31,11,0.772103188,78.57142857,11.29593023,10.33834587,26.31578947,37.03007519,23.30827068,53.38345865,8.568789538,81.53846154,9.230769231,1.750528541,1.257861635,49.8951782,48.00838574,0.838574423,35801,11.8,2.2,3.3,8,0.8,Non-Hospital Facilities,Alabama,South,East South Central,Metropolitan,Urban,31.36546267
17,12523,59.93243243,0,56.75675676,43.24324324,78.37837838,4.054054054,48.64864865,8,PHENIX CITY DIALYSIS,PHENIX CITY,AL,0.722021661,8.674876238,5.810520095,23.25315006,69.65240642,6.550802139,107,83.5443038,1.265822785,15.18987342,Compliant,For Profit,DaVita,No Evening Shift,Dialyzer Reuse,20,18,1.100090041,92.98245614,11.07246914,17.4488568,26.71480144,34.77737666,18.53188929,78.82069795,8.13074986,78.10734463,12.85310735,1.469140625,1.843317972,88.94009217,7.52688172,1.689708141,36867,32.9,3.7,5.5,18,1.2,Non-Hospital Facilities,Alabama,South,East South Central,Metropolitan,Urban,31.27237383
18,12524,58.46825397,0,62.6984127,37.3015873,66.66666667,0.793650794,47.61904762,8,FMC EAST MOBILE,MOBILE,AL,0.942126514,8.825534852,5.177731674,12.44952894,58.67689358,4.889741131,214,56.8,0,43.2,Not Compliant,For Profit,FMC,Evening Shift,No Dialyzer Reuse,29,15,1.108756454,50.68493151,10.71664374,28.33109018,27.52355316,24.49528937,17.49663526,57.06594886,6.098653883,90.81836327,3.79241517,1.719175028,3.829321663,54.04814004,40.26258206,1.859956236,36604,44.9,2.1,5.2,12.1,0.9,Non-Hospital Facilities,Alabama,South,East South Central,Metropolitan,Urban,31.08345825
19,12525,64.65384615,0,48.71794872,51.28205128,47.43589744,3.846153846,57.69230769,8,FMC WEST MOBILE,MOBILE,AL,0.447427293,8.884,4.935977654,7.096069869,52.29257642,6.331877729,99,61.03896104,0,38.96103896,Not Compliant,For Profit,FMC,No Evening Shift,No Dialyzer Reuse,20,12,0.914435262,79.66101695,10.93164414,21.47651007,29.19463087,30.42505593,18.23266219,65.32438479,7.530598771,88.4787472,5.257270694,1.789211165,0.944510035,46.28099174,50.05903188,2.715466352,36695,19.5,3.3,3.7,5.5,2.9,Non-Hospital Facilities,Alabama,South,East South Central,Metropolitan,Urban,31.08072034
20,12526,61.90434783,0,58.26086957,41.73913044,91.30434783,0.869565217,46.08695652,8,RCG PRINCETON,BIRMINGHAM,AL,3.551696922,9.109535256,5.259572845,13.27831958,44.18604651,5.026256564,150,63.44086022,1.075268817,35.48387097,Compliant,For Profit,Other Chains,No Evening Shift,No Dialyzer Reuse,34,23,1.195154532,49.01960784,10.82298484,21.23125493,30.70244673,34.49092344,12.47040253,68.58721389,7.666042161,90.21310182,5.91949487,1.66603935,1.269035533,67.34348562,30.28764805,1.099830795,35211,90.3,0.8,9.1,28.2,1,Non-Hospital Facilities,Alabama,South,East South Central,Metropolitan,Urban,31.28606337
21,12527,62,0,55.55555556,44.44444444,74.07407407,0,53.7037037,8,DCI ENTERPRISE,ENTERPRISE,AL,3.94922426,9.158815233,5.040934066,7.28021978,74.31318681,2.747252747,75,80.35714286,0,19.64285714,Not Compliant,Not for Profit,Other Chains,No Evening Shift,No Dialyzer Reuse,26,13,0.8575505,81.81818182,10.81652542,12.83497884,44.2877292,34.69675599,8.039492243,91.81946403,6.394994313,89.8448519,6.488011284,1.601424542,0.564174894,85.0493653,14.3864598,0,36330,19.3,9.6,4,11.8,3.3,Non-Hospital Facilities,Alabama,South,East South Central,Micropolitan,Rural,30.49480824
22,12528,63.15384615,0,46.15384615,53.84615385,36.53846154,1.923076923,36.53846154,8,FMC CAHABA VALLEY,PELHAM,AL,0.9765625,8.925896414,5.358988764,15.01831502,62.45421245,10.25641026,85,52.63157895,0,47.36842105,Not Compliant,For Profit,Other Chains,No Evening Shift,No Dialyzer Reuse,24,12,1.176979341,68.29268293,10.74103586,22.265625,35.3515625,28.90625,11.5234375,67.7734375,9.755302493,74.8046875,18.1640625,1.721843687,0.784313726,55.09803922,41.96078431,2.156862745,35124,8.7,12,3.7,4.1,6.5,Non-Hospital Facilities,Alabama,South,East South Central,Metropolitan,Urban,30.28946522
23,12529,61.58653846,0,50.96153846,49.03846154,37.5,0.961538462,49.03846154,8,FLORENCE DIALYSIS,FLORENCE,AL,2.321857486,8.80211685,5.455227454,15.15151515,68.72340426,3.936170213,172,92.24137931,0,7.75862069,Not Compliant,For Profit,Other Chains,No Evening Shift,No Dialyzer Reuse,18,23,1.131480206,83.83838384,10.78843882,19.85588471,33.70696557,29.30344275,12.00960769,77.74219376,8.338426113,76.59090909,12.5,1.488085612,3.621495327,85.28037383,9.345794393,1.752336449,35630,19.4,3.9,4.3,22.8,2,Non-Hospital Facilities,Alabama,South,East South Central,Metropolitan,Urban,30.29220313
24,12530,61.75675676,0,64.86486487,35.13513514,59.45945946,0,56.75675676,8,RAI EAST 11TH ST ANNISTON,ANNISTON,AL,0.896286812,8.820942408,5.339486553,11.07142857,50.47619048,11.19047619,115,61.03896104,0,38.96103896,Not Compliant,For Profit,Independent,No Evening Shift,No Dialyzer Reuse,21,14,0.967681196,58.62068966,11.07246753,16.6453265,28.04097311,34.31498079,19.59026889,60.9475032,9.238781654,75.41613316,17.54161332,1.662018592,1.038961039,69.48051948,27.27272727,2.207792208,36207,24.7,3.2,5.5,14.6,1.5,Non-Hospital Facilities,Alabama,South,East South Central,Metropolitan,Urban,29.98281963
25,12531,59,0,64.78873239,35.21126761,63.38028169,0,46.47887324,8,FMC JACKSON (TOMBIGBEE),JACKSON,AL,0.120336943,8.823058252,5.256374269,13.31018519,58.91583452,3.851640514,104,67.10526316,0,32.89473684,Not Compliant,For Profit,FMC,No Evening Shift,No Dialyzer Reuse,24,17,1.205865014,85.24590164,10.80521845,22.74368231,30.68592058,30.2045728,15.5234657,66.42599278,6.129547333,94.0915805,2.954209749,1.678642384,2.298850575,61.74055829,35.13957307,0.821018062,36545,50.1,0,10.9,21.4,0.1,Non-Hospital Facilities,Alabama,South,East South Central,Small Town,Rural,29.92258568
26,12532,66.35555556,0,40,60,86.66666667,0,51.11111111,8,DCI EUFAULA,EUFAULA,AL,3.096539162,9.213394495,4.82962963,5.253940455,69.70227671,1.401050788,63,80.85106383,4.255319149,14.89361702,Not Compliant,Not for Profit,Other Chains,No Evening Shift,No Dialyzer Reuse,14,12,0.924676654,75,10.77394495,15.11839709,45.90163934,30.78324226,7.468123862,87.79599271,6.026216643,91.80327869,4.918032787,1.552985348,0.546448087,90.89253188,8.014571949,0.546448087,36027,48.3,5.3,7.4,20.8,2.3,Non-Hospital Facilities,Alabama,South,East South Central,Small Town,Rural,29.10121358
27,12533,59.21428571,0,61.90476191,38.0952381,16.66666667,4.761904762,33.33333333,8,WALKER COUNTY DIALYSIS,JASPER,AL,4.222222222,8.751826484,5.407127883,16.2601626,56.89223058,7.01754386,63,75,2.083333333,22.91666667,Compliant,For Profit,Other Chains,No Evening Shift,No Dialyzer Reuse,13,11,1.236866733,83.33333333,10.85981735,12.22222222,41.11111111,35.33333333,8.666666667,84.44444444,8.4339649,76.58402204,13.49862259,1.515229885,1.652892562,86.22589532,7.988980716,4.132231405,35504,2.5,2.2,3.6,15.5,1.1,Non-Hospital Facilities,Alabama,South,East South Central,Metropolitan,Urban,29.00812474
28,12534,63.578125,0,51.5625,48.4375,67.1875,0,50,8,BESSEMER KIDNEY CENTER,BESSEMER,AL,3.177004539,9.064945227,4.904584527,8.275862069,32.55172414,11.72413793,88,49.29577465,0,50.70422535,Compliant,For Profit,Other Chains,No Evening Shift,No Dialyzer Reuse,36,13,0.608930977,65.78947368,10.75023328,18.75945537,34.79576399,32.8290469,10.89258699,73.82753404,8.12382167,81.84568835,10.74130106,1.755239669,2.086677368,48.63563403,46.38844302,2.889245586,35022,39.5,2,3,8.5,1.3,Non-Hospital Facilities,Alabama,South,East South Central,Metropolitan,Urban,28.77814055
29,12535,62.64912281,0,54.38596491,45.61403509,47.36842105,1.754385965,43.85964912,8,PCD PRATTVILLE,PRATTVILLE,AL,1.226993865,8.651050081,5.31561051,14.32748538,58.77192983,12.28070175,76,79.62962963,0,20.37037037,Not Compliant,For Profit,DaVita,No Evening Shift,No Dialyzer Reuse,16,10,1.400510324,76.19047619,10.44308682,29.75460123,33.28220859,25.30674847,7.055214724,83.89570552,7.723726551,74.84662577,10.42944785,1.525119454,1.458670989,83.14424635,10.37277148,5.024311183,36066,15.9,3.5,2.5,6.3,2,Non-Hospital Facilities,Alabama,South,East South Central,Metropolitan,Urban,26.93005332
30,12536,62.31481482,0,55.55555556,44.44444444,72.22222222,3.703703704,51.85185185,8,FMC MONTCLAIR,BIRMINGHAM,AL,1.371951219,9.100473186,5.356702619,12.98507463,49.40298508,4.029850746,70,66.66666667,0,33.33333333,Not Compliant,For Profit,Other Chains,No Evening Shift,No Dialyzer Reuse,24,15,1.017029479,47.36842105,10.79018987,20.88414634,30.03048781,33.07926829,12.34756098,64.48170732,7.696997666,87.5,5.945121951,1.774784053,0.330033003,53.46534654,45.54455446,0.660066007,35213,6,2.5,1.4,3.8,0.9,Non-Hospital Facilities,Alabama,South,East South Central,Metropolitan,Urban,26.30307262
31,12537,62.42391304,0,53.26086957,46.73913044,77.17391304,1.086956522,48.91304348,8,FMC PRICHARD,WHISTLER,AL,0.475737393,8.923511905,5.223958333,11.37397634,48.86260237,6.096451319,128,65.95744681,0,34.04255319,Not Compliant,For Profit,FMC,No Evening Shift,No Dialyzer Reuse,25,17,1.025884245,69.64285714,10.73980488,24.64319696,30.35204567,29.59086584,12.94005709,60.22835395,7.343749616,83.44433873,6.850618459,1.663351178,2.036659878,59.36863544,33.70672098,4.887983707,36613,49.5,0.9,4.1,16.3,0.3,Non-Hospital Facilities,Alabama,South,East South Central,Metropolitan,Urban,26.69185541
32,12538,62.23076923,2.564102564,48.71794872,48.71794872,56.41025641,0,43.58974359,8,RCG ANDALUSIA,ANDALUSIA,AL,1.882352941,8.943373494,5.272727273,10.19955654,64.63414634,7.804878049,70,59.57446809,0,40.42553192,Not Compliant,For Profit,Other Chains,No Evening Shift,No Dialyzer Reuse,20,11,1.234588528,92.68292683,10.78633094,22.58823529,33.17647059,28,14.35294118,70.82352941,8.40755666,88.21989529,7.853403141,1.616621253,1.886792453,71.15902965,25.87601078,1.078167116,36420,17.1,1.7,5.3,13.4,1.3,Non-Hospital Facilities,Alabama,South,East South Central,Small Town,Rural,25.51729331
33,12540,58.61904762,0,66.66666667,33.33333333,76.19047619,0,52.38095238,8,FMC MONROEVILLE (WHETSTONE),MONROEVILLE,AL,0.82815735,8.885504202,5.3354,15.52062868,57.97752809,7.640449438,55,73.33333333,2.222222222,24.44444444,Compliant,For Profit,FMC,No Evening Shift,No Dialyzer Reuse,20,9,0.783726826,87.17948718,10.85176715,22.98136646,24.8447205,36.64596273,15.11387164,63.97515528,7.54075942,88.94117647,7.058823529,1.725124378,2.463054187,54.43349754,42.1182266,0.985221675,36460,48.7,0.8,11.5,23.2,0,Non-Hospital Facilities,Alabama,South,East South Central,Small Town,Rural,25.28730912
34,12541,62.91111111,0,51.11111111,48.88888889,80,0,51.11111111,8,FMC DADEVILLE,DADEVILLE,AL,2.772277228,9.106438632,5.165028355,6.967984934,87.57062147,5.27306968,59,68.75,0,31.25,Not Compliant,For Profit,FMC,No Evening Shift,No Dialyzer Reuse,15,14,1.104856978,46.51162791,10.97400794,18.01980198,29.10891089,38.61386139,14.05940594,67.92079208,7.287505538,90.89108911,5.346534654,1.968067227,0.20242915,48.98785425,47.1659919,3.643724696,36853,17.4,1.6,3.1,14,0.2,Non-Hospital Facilities,Alabama,South,East South Central,Metropolitan,Urban,24.80817539
35,12542,64.45614035,0,52.63157895,47.36842105,40.35087719,1.754385965,56.14035088,8,RAINBOW CITY DIALYSIS,RAINBOW CITY,AL,0.904977376,8.74384858,5.299261448,11.43654114,62.19512195,3.048780488,96,75,0,25,Not Compliant,For Profit,Other Chains,No Evening Shift,Dialyzer Reuse,16,12,1.150600981,74.41860465,10.94944882,17.49622926,30.46757164,28.80844646,19.00452489,72.39819005,7.019228229,83.10810811,9.684684685,1.505251142,1.576576577,83.10810811,13.96396396,1.351351351,35906,10.2,2.1,5.3,17.5,0.2,Non-Hospital Facilities,Alabama,South,East South Central,Metropolitan,Urban,24.6575905
36,12543,56.33898305,0,71.18644068,28.81355932,88.13559322,1.694915254,44.06779661,8,DEMOPOLIS DIALYSIS,DEMOPOLIS,AL,1.564722617,9.021503759,5.769751381,18.14569536,48.47560976,9.146341463,89,86.15384615,0,13.84615385,Not Compliant,For Profit,DaVita,No Evening Shift,No Dialyzer Reuse,15,12,0.863949882,92.45283019,10.50089153,25.46230441,38.40682788,24.75106686,7.112375533,87.90896159,7.92804535,78.38283828,10.56105611,1.406637324,1.386481802,93.24090121,3.812824957,1.559792028,36732,55.9,1.7,7.2,23.1,0.6,Non-Hospital Facilities,Alabama,South,East South Central,Small Town,Rural,24.6165219
37,12544,63.54166667,0,50,50,68.75,2.083333333,50,8,OZARK DIALYSIS,OZARK,AL,0.735294118,8.856097561,5.174909747,11.24780316,68.89279438,3.866432337,68,92.59259259,0,7.407407407,Not Compliant,For Profit,Other Chains,No Evening Shift,No Dialyzer Reuse,13,10,0.723797489,79.54545455,10.57962617,21.875,44.11764706,26.65441177,5.698529412,95.95588235,7.65549078,75.36764706,10.66176471,1.436102662,3.925233645,90.28037383,4.112149533,1.682242991,36360,26.2,2.7,4.4,14.8,1.1,Non-Hospital Facilities,Alabama,South,East South Central,Micropolitan,Rural,24.40844097
38,12545,57.55128205,0,67.94871795,32.05128205,87.17948718,0,46.15384615,8,TUSCALOOSA DIALYSIS,TUSCALOOSA,AL,1.324503311,8.823515982,5.588673139,18.30403309,47.98345398,4.446742503,129,78.04878049,1.219512195,20.73170732,Not Compliant,For Profit,Other Chains,No Evening Shift,Dialyzer Reuse,19,13,1.023621118,10,10.60513699,22.40618102,37.85871965,28.69757174,7.726269316,91.94260486,9.536597864,70.1986755,19.20529801,1.455831354,0.918484501,89.32261768,6.429391504,3.329506315,35401,50.2,2.6,6.3,23.8,2.7,Non-Hospital Facilities,Alabama,South,East South Central,Metropolitan,Urban,24.38927562
39,12546,61.90277778,0,52.77777778,47.22222222,95.83333333,1.388888889,41.66666667,8,FMC TUSKEGEE,TUSKEGEE,AL,2.145411204,9.079751553,5.193939394,10.14823261,79.01938427,0.798175599,100,71.23287671,0,28.76712329,Not Compliant,For Profit,FMC,No Evening Shift,No Dialyzer Reuse,28,15,0.747735302,83.01886793,10.89313253,16.56734207,32.53873659,37.06793802,12.75327771,71.27532777,6.675542384,91.5375447,4.52920143,1.699853659,0.482509047,61.88178528,36.55006031,1.085645356,36083,92.1,2.2,8,16.9,0.2,Non-Hospital Facilities,Alabama,South,East South Central,Small Town,Rural,23.62266166
40,12547,65.15625,0,42.1875,57.8125,48.4375,0,37.5,8,FMC EASTERN SHORE,FAIRHOPE,AL,0.894187779,9.04795764,5.041723666,7.81671159,53.36927224,5.795148248,101,69.56521739,0,30.43478261,Not Compliant,For Profit,FMC,Evening Shift,No Dialyzer Reuse,24,15,0.878549607,82.60869565,10.74131737,25.78241431,33.38301043,26.67660209,13.71087929,72.28017884,7.340337839,88.52459016,7.451564829,1.701730475,2.870090634,61.17824773,34.59214502,1.359516616,36532,5.9,4,3.1,6.9,1.6,Non-Hospital Facilities,Alabama,South,East South Central,Metropolitan,Urban,23.41731863
